Publisher (costs in MEUR),2010,2011,2012,2013,2014,2015,2016,2017,Total,%
Sähköinfo Oy,0,0,0,0,0.01,0.01,0.02,0.02,0.06,0.03
Brepols,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.03
Journal of Visualized Experiments (JoVE),0,0,0,0,0,0,0.04,0.02,0.05,0.03
PrioInfo,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.05,0.03
M-Brain Insight,0,0,0,0,0,0,0.03,0.02,0.05,0.03
Elektra,0,0,0,0,0,0,0,0.05,0.05,0.02
Beck,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.02
American Society Of Mechanical Engineers (ASME),0,0,0,0.01,0.01,0.01,0.01,0.01,0.04,0.02
Brill,0,0,0,0,0,0,0,0.03,0.04,0.02
Progressive Digital Media Ltd.,0,0,0.01,0.01,0.01,0.01,0,0.01,0.04,0.02
Fonecta,0.01,0.01,0.01,0,0,0,0,0,0.04,0.02
Sanoma Pro Oy,0,0,0.01,0.01,0.01,0.01,0,0,0.04,0.02
Frost&Sullivan,0,0,0,0,0,0,0.02,0.02,0.04,0.02
Riksarkivet,0,0,0,0,0.01,0.01,0.01,0.01,0.04,0.02
Esmerk/M-Brain Insight,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.04,0.02
PSK Standardisointiyhdistys,0,0,0,0,0,0,0.01,0.01,0.04,0.02
Walter de Gruyter GmbH,0,0,0,0,0,0,0.01,0.02,0.04,0.02
American Association for Cancer Research (AACR)/Ebsco,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.04,0.02
FAR Akademi,0,0,0,0.01,0.01,0.01,0.01,0.01,0.04,0.02
Elib,0,0,0,0.01,0.01,0.01,0.01,0,0.04,0.02
Naxos Digital Services,0,0,0,0,0,0,0.01,0.01,0.04,0.02
Maney Publishing,0.01,0.01,0.01,0.01,0,0,0,0,0.04,0.02
Adam Matthew,0,0,0,0,0,0,0,0.03,0.03,0.02
Karnov Group Sweden AB,0,0,0,0,0,0,0.01,0.02,0.03,0.02
Palgrave Macmillan,0,0,0,0,0,0.01,0.01,0,0.03,0.02
Warc,0,0,0,0,0,0,0,0,0.03,0.02
OECD/Turpin,0,0,0,0,0,0,0,0,0.03,0.02
Innventia,0,0,0,0,0,0,0.01,0.01,0.03,0.02
Retriever,0,0,0,0,0,0,0.01,0,0.03,0.01
National Bureau of Economic Research (NBER),0,0,0,0,0,0,0.01,0.01,0.03,0.01
Teknologian tutkimuskeskus (VTT),0.01,0.01,0.01,0.01,0,0,0,0,0.03,0.01
United Nations Publications,0,0,0,0,0,0,0,0,0.03,0.01
Lehtimarket,0,0,0,0,0,0,0.01,0.01,0.03,0.01
WSOY/Talentum,0,0.01,0.01,0,0,0,0,0,0.03,0.01
The Royal Pharmaceutical Society of Great Britain,0,0,0,0,0,0,0.01,0.01,0.02,0.01
Dawson Books,0,0,0,0,0,0.01,0.01,0.01,0.02,0.01
De Gruyter,0,0,0,0,0,0,0.01,0.01,0.02,0.01
BioOne,0,0,0,0,0,0,0,0.01,0.02,0.01
ASM International,0.01,0,0,0,0,0,0,0,0.02,0.01
Centre for Economic Policy Research (CEPR),0,0,0,0,0,0,0,0,0.02,0.01
American Society Microbiology (ASM),0,0,0,0,0,0,0,0,0.02,0.01
Material ConneXion,0,0,0,0,0,0,0,0,0.02,0.01
FinPro,0,0,0,0,0,0,0,0,0.02,0.01
American Council of Learned Societies (ACLS),0,0,0,0,0,0,0,0,0.02,0.01
